"boatID","days1","days2","midTrips","boatType","boatCode","paintType","paintRating","wetWeight","LocID","Location","LocCode","samLab","wetWeight1","wetWeight2"
"1",1,164,1,NA,"Yacht",2,"Self-polishing","Excellent",0,"IH","Internal spaces",3,"Anchor well",FALSE,TRUE
"2",1,164,1,NA,"Yacht",2,"Self-polishing","Excellent",0,"DG","Deck",4,NA,FALSE,TRUE
"3",1,164,1,NA,"Yacht",2,"Self-polishing","Excellent",0,"IV","Internal spaces",3,NA,FALSE,TRUE
"4",1,164,1,NA,"Yacht",2,"Self-polishing","Excellent",0,"PM","Anchor",2,NA,FALSE,TRUE
"5",1,164,1,NA,"Yacht",2,"Self-polishing","Excellent",0,"PN","Anchor",2,NA,FALSE,TRUE
"6",1,164,1,NA,"Yacht",2,"Self-polishing","Excellent",0.5,"IA","Internal spaces",3,"Grey seawater",FALSE,TRUE
"7",1,164,1,NA,"Yacht",2,"Self-polishing","Excellent",1.99,"HK","Wet Hull",1,"Paddle wheel",TRUE,FALSE
"8",1,164,1,NA,"Yacht",2,"Self-polishing","Excellent",4,"HA","Wet Hull",1,"Hull 2 starboard",TRUE,FALSE
"9",1,164,1,NA,"Yacht",2,"Self-polishing","Excellent",12.95,"HA","Wet Hull",1,"Hull 4 port",TRUE,FALSE
"10",1,164,1,NA,"Yacht",2,"Self-polishing","Excellent",14.57,"HA","Wet Hull",1,"Hull 6 port",TRUE,FALSE
"11",1,164,1,NA,"Yacht",2,"Self-polishing","Excellent",15.36,"HAB","Wet Hull",1,"Anode",TRUE,FALSE
"12",1,164,1,NA,"Yacht",2,"Self-polishing","Excellent",28.74,"HA","Wet Hull",1,"Hull 3 starboard",TRUE,FALSE
"13",1,164,1,NA,"Yacht",2,"Self-polishing","Excellent",32.31,"HA","Wet Hull",1,"Hull 1 starboard",TRUE,FALSE
"14",1,164,1,NA,"Yacht",2,"Self-polishing","Excellent",34.2,"HA","Wet Hull",1,"Hull 5 port",TRUE,FALSE
"15",1,164,1,NA,"Yacht",2,"Self-polishing","Excellent",40.3,"PJ","Rudder",2,"Rudder port",TRUE,FALSE
"16",1,164,1,NA,"Yacht",2,"Self-polishing","Excellent",55.21,"PJ","Rudder",2,"Rudder starboard",TRUE,FALSE
"17",1,164,1,NA,"Yacht",2,"Self-polishing","Excellent",186.75,"PB","Propeller",2,"Propeller",TRUE,FALSE
"18",2,8,305,8.5,"Yacht",2,"Ablative","Good",0,"DA","Deck",4,NA,FALSE,TRUE
"19",2,8,305,8.5,"Yacht",2,"Ablative","Good",0,"DC","Deck",4,NA,FALSE,TRUE
"20",2,8,305,8.5,"Yacht",2,"Ablative","Good",0,"DE","Deck",4,NA,FALSE,TRUE
"21",2,8,305,8.5,"Yacht",2,"Ablative","Good",0,"HAB","Wet Hull",1,NA,FALSE,TRUE
"22",2,8,305,8.5,"Yacht",2,"Ablative","Good",0,"HAC","Dry Hull",1,NA,FALSE,TRUE
"23",2,8,305,8.5,"Yacht",2,"Ablative","Good",0,"ID","Internal spaces",3,NA,FALSE,TRUE
"24",2,8,305,8.5,"Yacht",2,"Ablative","Good",0,"IH","Internal spaces",3,NA,FALSE,TRUE
"25",2,8,305,8.5,"Yacht",2,"Ablative","Good",0,"II","Internal spaces",3,NA,FALSE,TRUE
"26",2,8,305,8.5,"Yacht",2,"Ablative","Good",0,"IV","Internal spaces",3,NA,FALSE,TRUE
"27",2,8,305,8.5,"Yacht",2,"Ablative","Good",0,"IW","Internal spaces",3,NA,FALSE,TRUE
"28",2,8,305,8.5,"Yacht",2,"Ablative","Good",0,"PB","Propeller",2,NA,FALSE,TRUE
"29",2,8,305,8.5,"Yacht",2,"Ablative","Good",0,"PM","Anchor",2,NA,FALSE,TRUE
"30",2,8,305,8.5,"Yacht",2,"Ablative","Good",0,"PN","Anchor",2,NA,FALSE,TRUE
