samLoc,samCode,boatID,boatType,Slow/Fast,Length,Draft,Width,Displacement,WLlength,distBP,ApproxHullSA,HullSA,hullMat,#_quadrat,quadrat_size_(m2)
Royal Hobart Yacht Club,1,1,Yacht,Slow,12.2,1.83,3.66,15,NA,10.7,45,41.27,Steel,6,0.1
Royal Hobart Yacht Club,1,2,Yacht,Slow,10.1,1.57,3.43,7,9.1,NA,32,NA,Huon Pine,6,0.1
Royal Hobart Yacht Club,1,3,Motor cruiser,Slow,11.7,1.52,3.75,12,10.9,NA,36,NA,Huon Pine,6,0.1
Royal Hobart Yacht Club,1,4,Motor cruiser,Slow,10.7,1.5,4.23,10,10.1,NA,32,NA,Fibreglass,6,0.1
Royal Hobart Yacht Club,1,5,Yacht,Slow,7.6,1.67,3.2,2,NA,NA,25,NA,Fibreglass,6,0.1
Royal Hobart Yacht Club,1,6,Yacht,Slow,11.6,1.98,3,6.5,10.7,NA,46,NA,Fibreglass,6,0.1
Royal Hobart Yacht Club,1,7,Motor cruiser,Slow,11.9,1.42,3.66,12,NA,11.5,34,35.99,Huon Pine,6,0.1
Royal Hobart Yacht Club,1,8,Yacht,Slow,8.8,1,2.59,2,7.9,NA,18,NA,Huon Pine,6,0.1
Royal Hobart Yacht Club,1,9,Yacht,Slow,9.1,1.22,3.05,6,7.92,NA,22,NA,Celery Top Pine,6,0.1
Domain Slipyard,2,10,Motor cruiser,Slow,17.5,1.8,5.9,50,NA,NA,63,NA,Fibreglass,6,0.1
Domain Slipyard,2,11,Fishing vessel (Abalone mothership),Slow,19.81,1.4,6.1,NA,NA,NA,55,NA,Aluminium,6,0.1
Royal Hobart Yacht Club,1,12,Yacht,Slow,14.5,2,4.5,18,12.8,NA,58,NA,GRP,6,0.1
Domain Slipyard,2,13,Fishing vessel (Lobster/scallop),Slow,18.3,2,5.9,72,NA,NA,73,NA,Steel,6,0.1
