"boatID","days1","days2","midTrips","boatType","boatCode","paintType","paintRating","LocID","n","n0"
"1",1,164,1,NA,"Yacht",2,"Self-polishing","Excellent","DG",1,1
"2",1,164,1,NA,"Yacht",2,"Self-polishing","Excellent","PM",1,1
"3",1,164,1,NA,"Yacht",2,"Self-polishing","Excellent","PB",1,0
"4",1,164,1,NA,"Yacht",2,"Self-polishing","Excellent","PJ",2,0
"5",1,164,1,NA,"Yacht",2,"Self-polishing","Excellent","HK",1,0
"6",1,164,1,NA,"Yacht",2,"Self-polishing","Excellent","HA",6,0
"7",1,164,1,NA,"Yacht",2,"Self-polishing","Excellent","IA",1,1
"8",1,164,1,NA,"Yacht",2,"Self-polishing","Excellent","HAB",1,0
"9",1,164,1,NA,"Yacht",2,"Self-polishing","Excellent","PN",1,1
"10",1,164,1,NA,"Yacht",2,"Self-polishing","Excellent","IH",1,1
"11",1,164,1,NA,"Yacht",2,"Self-polishing","Excellent","IV",1,1
"12",2,8,305,8.5,"Yacht",2,"Ablative","Good","ID",1,1
"13",2,8,305,8.5,"Yacht",2,"Ablative","Good","HD",2,0
"14",2,8,305,8.5,"Yacht",2,"Ablative","Good","IH",1,1
"15",2,8,305,8.5,"Yacht",2,"Ablative","Good","II",1,1
"16",2,8,305,8.5,"Yacht",2,"Ablative","Good","DA",1,1
"17",2,8,305,8.5,"Yacht",2,"Ablative","Good","PB",1,1
"18",2,8,305,8.5,"Yacht",2,"Ablative","Good","HAC",1,1
"19",2,8,305,8.5,"Yacht",2,"Ablative","Good","DE",1,1
"20",2,8,305,8.5,"Yacht",2,"Ablative","Good","IB",5,0
"21",2,8,305,8.5,"Yacht",2,"Ablative","Good","HA",4,0
"22",2,8,305,8.5,"Yacht",2,"Ablative","Good","HK",1,0
"23",2,8,305,8.5,"Yacht",2,"Ablative","Good","DC",1,1
"24",2,8,305,8.5,"Yacht",2,"Ablative","Good","PJ",2,0
"25",2,8,305,8.5,"Yacht",2,"Ablative","Good","IV",1,1
"26",2,8,305,8.5,"Yacht",2,"Ablative","Good","PA",1,0
"27",2,8,305,8.5,"Yacht",2,"Ablative","Good","HP",2,0
"28",2,8,305,8.5,"Yacht",2,"Ablative","Good","IW",1,1
"29",2,8,305,8.5,"Yacht",2,"Ablative","Good","PM",1,1
"30",2,8,305,8.5,"Yacht",2,"Ablative","Good","HAB",1,1
"31",2,8,305,8.5,"Yacht",2,"Ablative","Good","IA",4,4
"32",2,8,305,8.5,"Yacht",2,"Ablative","Good","PN",1,1
"33",3,69,328,30.5,"Motor cruiser",17,NA,NA,"PB",1,1
"34",3,69,328,30.5,"Motor cruiser",17,NA,NA,"IW",1,1
"35",3,69,328,30.5,"Motor cruiser",17,NA,NA,"PM",1,1
"36",3,69,328,30.5,"Motor cruiser",17,NA,NA,"IV",1,1
"37",3,69,328,30.5,"Motor cruiser",17,NA,NA,"HD",1,0
"38",3,69,328,30.5,"Motor cruiser",17,NA,NA,"PJ",2,0
"39",3,69,328,30.5,"Motor cruiser",17,NA,NA,"IB",4,0
"40",3,69,328,30.5,"Motor cruiser",17,NA,NA,"HAB",1,0
"41",3,69,328,30.5,"Motor cruiser",17,NA,NA,"HX",1,0
"42",3,69,328,30.5,"Motor cruiser",17,NA,NA,"IQ",1,1
"43",3,69,328,30.5,"Motor cruiser",17,NA,NA,"IA",2,2
"44",3,69,328,30.5,"Motor cruiser",17,NA,NA,"HP",2,0
"45",3,69,328,30.5,"Motor cruiser",17,NA,NA,"ID",2,2
"46",3,69,328,30.5,"Motor cruiser",17,NA,NA,"HH",2,0
"47",3,69,328,30.5,"Motor cruiser",17,NA,NA,"PN",1,1
"48",3,69,328,30.5,"Motor cruiser",17,NA,NA,"HK",1,0
"49",3,69,328,30.5,"Motor cruiser",17,NA,NA,"PA",1,1
"50",3,69,328,30.5,"Motor cruiser",17,NA,NA,"HA",4,0
"51",3,69,328,30.5,"Motor cruiser",17,NA,NA,"PG",1,0
"52",3,69,328,30.5,"Motor cruiser",17,NA,NA,"IH",1,1
"53",4,NA,192,NA,"Motor cruiser",17,NA,NA,"II",1,1
"54",4,NA,192,NA,"Motor cruiser",17,NA,NA,"IF",2,2
"55",4,NA,192,NA,"Motor cruiser",17,NA,NA,"IB",3,2
"56",4,NA,192,NA,"Motor cruiser",17,NA,NA,"PG",2,0
"57",4,NA,192,NA,"Motor cruiser",17,NA,NA,"PM",1,1
"58",4,NA,192,NA,"Motor cruiser",17,NA,NA,"PB",2,0
"59",4,NA,192,NA,"Motor cruiser",17,NA,NA,"HAB",1,0
