vesID,boatType,boatCode,maxTrips,minTrips,maxDays,minDays,max.Dist,minDist,maxStops,minStops,sampleDate,lastTripDate,Destination,Antifoul name,PerfRating,Type,lastAFDate,lastSlipDate,lastINWDate,HFIPBT,HFIPVB,HFIPFB,HFISBT,HFISVB,HFISFB
1,Yacht,2,,1,14,1,64,3,8,1,2003-08-12,2003-03-01,Bruny Island,Jotun Seagaurdian,Excellent,Self-polishing,2002-09-15,2002-09-15,11/8/2003,0,20,20,0,20,20
2,Yacht,2,12,5,3,1,33,9,0,0,2003-08-16,2003-08-08,Shag Bay,International Coppercoat,Good,Ablative,2002-10-15,2002-10-15,,30,10,30,20,10,20
3,Motor cruiser,17,60,1,21,1,Round Taz,1,25,1,2003-09-08,2003-07-01,Upriver,Wattyl Marine Coating,,,2002-10-15,2002-10-15,1/10/2002,30,10,40,30,10,40
4,Motor cruiser,17,-,-,-,-,-,-,-,-,2003-09-23,-,-,,,,,2003-03-15,,0,0,0,0,40,0
5,Yacht,2,60,50,7,1,75,25,5,1,2003-09-25,2003-04-30,Bruny Island,Awlcraft,Good,Ablative,2003-02-15,2003-02-15,,10,10,10,10,10,10
6,Yacht,2,50,45,7,1,93,6,7,0,2003-10-01,2003-09-28,Hobart,International Coppercoat,Good,Ablative,1997-01-15,2003-07-15,1/4/2003,30,10,10,30,10,10
7,Motor cruiser,17,100,30,21,1,278,6,63,1,2003-10-06,2003-06-01,Hobart,Hempel,Poor,Self-polishing,2002-10-06,2003-04-15,,30,10,10,20,10,10
8,Yacht,2,20,3,6,1,370,56,5,1,2003-10-22,2003-10-18,Norfolk Bay,Taspaint T782 Fishermans antifouling,,,2003-02-15,2003-02-15,,65,70,80,70,70,80
9,Yacht,2,50,20,3,1,56,1,2,1,2003-10-24,2003-10-23,Royal Yacht Club,Micron,,Self-polishing,2003-02-15,2003-02-15,,20,20,30,20,20,30
10,Motor cruiser,17,-,-,-,-,-,-,-,-,2003-11-03,-,-,Interspeed 2000,Very Poor,Hard,2002-11-15,2002-11-15,,20,10,10,20,10,10
11,Fish,15,15,10,5,4,630,185,5,4,2003-11-04,2003-10-01,Flinders Island,Seapro,Very Poor,Hard,2003-10-15,2002-11-15,,20,10,60,20,20,60
12,Yacht,2,20,10,180,1,7000,8,20,0,2003-11-12,2003-10-01,Hobart (from Hamilton Island),Awlgrip,Excellent,Ablative,2003-04-07,2003-04-07,25/8/2003,10,10,10,10,10,10
13,Fish,15,30,7,12,2,100,25,2,0,2003-11-19,2003-11-06,St Helens,Jotun Seagaurdian,Excellent,Self-polishing,2002-11-15,2003-11-15,,30,10,10,20,10,10
14,Yacht,2,20,5,7,1,185,11,7,0,2003-11-21,2003-10-08,Derwent Estuatry,International Coppercoat,Good,Ablative,2003-11-15,2003-09-15,,20,10,30,20,10,30
15,Yacht,2,12,4,10,1,556,74,10,1,2003-11-24,2003-04-01,Mary Ann Bay,Ecol IV,Good,Ablative,2002-09-15,,,40,30,100,40,30,100
16,Motor cruiser,17,6,1,1,0.5,Lindisfarne to Kettering,8,0,0,2003-12-08,2003-12-02,Mary Ann Bay,Ecol IV,Good,Ablative,2003-01-15,2003-01-15,1/3/2003,30,30,50,30,30,50
17,Fish,15,160,150,1,0.0625,32,7,1,1,2004-02-02,2004-01-29,Woodbridge,Interspeed 2000,Very Poor,Hard,2003-02-15,2003-02-15,,40,40,80,40,40,80
18,Fish,15,12,8,7,1,200,5,30,3,2004-02-03,2004-01-28,Port Davey,Sigmaplane Ecol HA120,Good,Self-polishing,2003-02-15,2003-02-15,,30,10,10,30,10,10
19,Fish,15,18,12,12,10,Low rocky point,Tasman Island,12,10,2004-02-10,2004-02-03,Port Davey,Ecol IV,Good,Ablative,2003-02-15,2003-05-15,,20,10,10,10,10,10
20,Yacht,2,-,-,-,-,-,-,-,-,2004-02-25,2004-02-14,Geilston Bay,Seapro,Very Poor,Hard,2003-12-15,2004-01-15,,10,10,10,10,10,10
21,Yacht,2,35,20,14,1,370,10,14,1,2004-03-01,2003-01-01,Derwent Estuatry,Ecol IV,Good,Ablative,2003-11-15,2003-11-15,,20,40,25,20,35,25
22,Fish,15,320,280,14,1,288,8,14,1,2004-03-03,2004-02-27,Monrose Bight,,,,2002-03-15,2002-03-15,,60,50,90,60,50,90
23,Tug,16,260,260,1,1,10,1,0,0,2004-03-18,2004-03-18,Domain,Sigmaplane Ecol HA120,Good,Self-polishing,2001-09-15,2001-09-15,,30,40,40,30,40,40
24,Yacht,2,24,1,7,0.5,32,8,7,0,2004-04-02,2003-10-02,Derwent Estuatry,Awlgrip,Excellent,Ablative,2003-01-15,2003-01-15,1/1/2003,100,100,100,100,100,100
