"boatID","days1","days2","midTrips","boatType","boatCode","paintType","paintRating"
"1",1,164,1,NA,"Yacht",2,"Self-polishing","Excellent"
"2",2,8,305,8.5,"Yacht",2,"Ablative","Good"
"3",3,69,328,30.5,"Motor cruiser",17,NA,NA
"4",4,NA,192,NA,"Motor cruiser",17,NA,NA
"5",5,148,222,55,"Yacht",2,"Ablative","Good"
"6",6,3,78,47.5,"Yacht",2,"Ablative","Good"
"7",7,127,174,65,"Motor cruiser",17,"Self-polishing","Poor"
"8",8,4,249,11.5,"Yacht",2,NA,NA
"9",9,1,251,35,"Yacht",2,"Self-polishing",NA
"10",10,NA,353,NA,"Motor cruiser",17,"Hard","Very Poor"
"11",11,34,20,12.5,"Fish",15,"Hard","Very Poor"
"12",12,42,79,15,"Yacht",2,"Ablative","Excellent"
"13",13,13,4,18.5,"Fish",15,"Self-polishing","Excellent"
"14",14,44,6,12.5,"Yacht",2,"Ablative","Good"
"15",15,237,435,8,"Yacht",2,"Ablative","Good"
"16",16,6,282,3.5,"Motor cruiser",17,"Ablative","Good"
"17",17,4,352,155,"Fish",15,"Hard","Very Poor"
"18",18,6,353,10,"Fish",15,"Self-polishing","Good"
"19",19,7,271,15,"Fish",15,"Ablative","Good"
"20",20,11,41,NA,"Yacht",2,"Hard","Very Poor"
"21",21,425,107,27.5,"Yacht",2,"Ablative","Good"
"22",22,5,719,300,"Fish",15,NA,NA
"23",23,0,915,260,"Tug",16,"Self-polishing","Good"
"24",24,183,443,12.5,"Yacht",2,"Ablative","Excellent"
"25",25,7,374,160,"Fish",15,"Self-polishing","Excellent"
"26",26,51,104,10,"Yacht",2,"Self-polishing",NA
"27",27,26,262,12.5,"Fish",15,"Self-polishing","Excellent"
"28",28,39,208,15,"Fish",15,"Hard","Very Poor"
"29",29,4,371,265,"Yacht",2,"Self-polishing","Excellent"
"30",30,10,270,7,"Yacht",2,"Ablative","Good"
"31",31,10,365,NA,"Ferry",22,"Self-polishing","Good"
"32",32,35,170,40,"Motor cruiser",17,"Ablative",NA
"33",33,2,107,13.5,"Motor cruiser",17,"Ablative","Excellent"
"34",34,NA,198,52,"Motor cruiser",17,"Hard","Very Poor"
"35",35,31,366,32,"Yacht",2,"Ablative","Excellent"
"36",36,136,351,32.5,"Motor cruiser",17,"Ablative","Excellent"
"37",37,3,31,NA,"Racing Yacht",2,"Hard","Good"
"38",38,0,352,0.5,"Yacht",2,"Ablative","Poor"
"39",39,184,153,26,"Yacht",2,"Hard","Good"
"40",40,124,18,7.5,"Yacht",2,"Ablative","Good"
"41",41,428,428,0.5,"Yacht",2,"Self-polishing","Good"
"42",42,7,56,16,"Yacht",2,"Hard","Good"
"43",43,123,283,7,"Yacht",2,"Ablative","Very Poor"
"44",44,81,172,13.5,"Fish",15,"Self-polishing","Excellent"
"45",45,0,14,55,"Yacht",2,"Self-polishing","Poor"
"46",46,1,319,25,"Motor cruiser",17,"Ablative","Good"
"47",47,14,14,0.5,"Yacht",2,NA,NA
"48",48,33,442,13.5,"Yacht",2,"Self-polishing","Good"
"49",49,2,473,30,"Yacht",2,"Ablative","Excellent"
"50",50,4,47,145,"Yacht",2,"Hard","Good"
"51",51,335,1082,1.5,"Yacht",2,"Ablative",NA
"52",52,8,291,47.5,"Yacht",2,"Ablative","Good"
"53",53,235,14,21.5,"Yacht",2,"Hard","Good"
"54",54,2,141,NA,"Yacht",2,"Hard","Very Poor"
